"terms","correlations"
"govern",0.454932037003111
"countri",0.422034907052765
"develop",0.415657911090869
"usm",0.380303955435764
"fund",0.354520582630588
"imf",0.34052500813933
"assist",0.33780396215277
"government",0.319859453588077
"includ",0.318984389880333
"polit",0.316200534958891
"manag",0.315118855976442
"agre",0.310566830084881
"made",0.30826974338811
"poverti",0.3054001312508
"receiv",0.304776823869152
"donor",0.304385788278358
"financ",0.301630961343137
"report",0.300595408698464
"grant",0.30046970832242
"nation",0.296887671636351
"facil",0.296340533863115
"provid",0.294945154812556
"plan",0.292878696526365
"region",0.290609425861983
"poor",0.290014753432537
"complet",0.289885797574685
"oper",0.288026333672756
"civil",0.287056488498856
"world",0.286837481121715
"progress",0.285970905418936
"programm",0.283313680865423
"aid",0.282617737037154
"establish",0.279045763621273
"state",0.278403342599144
"member",0.277948808599463
"minister",0.275670383537443
"implement",0.270956627819246
"agreement",0.269365547181727
"internat",0.268390001770488
"minist",0.267139589619928
"company",0.266567691685187
"institut",0.26622824380933
"involv",0.265565764894145
"financi",0.265389978668807
"commit",0.26454091029219
"announc",0.26419803043576
"organis",0.262715719897526
"process",0.262311490197742
"secur",0.255880623027717
"control",0.253546466232768
"visit",0.253441829004208
"lack",0.25290376341115
"country",0.252660976877351
"improv",0.250943297159594
"loan",0.248736733658336
"bank",0.24820125752232
"accord",0.247232054672285
"initi",0.246434903412945
"development",0.245423681499396
"strategi",0.245301369587252
"finance",0.244775236110309
"support",0.244378907477821
"debt",0.243500910524194
"capital",0.243307255106858
"place",0.242718031743396
"heavili",0.242181754945954
"compani",0.242055300551736
"technic",0.241584072951839
"president",0.240905829376678
"project",0.240112009986052
"disburs",0.239109002598172
"transpar",0.238840684798806
"make",0.23614804452686
"pay",0.235503743546971
"claim",0.233872374358166
"programme",0.232694773385333
"held",0.232518173253959
"head",0.231794412178813
"joint",0.231790319419055
"prgf",0.230436037526612
"sector",0.229690742974202
"econom",0.229654271344203
"number",0.229047883834963
"work",0.228615375241873
"bilater",0.228038853165528
"hope",0.22789249081199
"offer",0.227007681067399
"issu",0.226884969659136
"deal",0.226185433025401
"scene",0.22357538893645
"due",0.222920475993246
"reduct",0.222415407989011
"power",0.222218302671245
"problem",0.222203092356875
"forc",0.221952246027569
"prioriti",0.221641972919345
"extend",0.220779554363266
"corrupt",0.220316104694432
"approv",0.219007848246451
"discuss",0.218934305177629
"review",0.217127138512674
"form",0.217061615810524
"indebt",0.21577601084946
"exist",0.215534895341245
"policy",0.215506037145281
"call",0.212990271575012
"order",0.212839221085917
"payments",0.212508879297556
"appoint",0.212297214844818
"group",0.21181491892199
"success",0.210690161813916
"corruption",0.210481667514828
"banqu",0.208991248265646
"ministri",0.207674225374329
"relief",0.206379599510132
"cover",0.205504155605932
"total",0.205002009558346
"publish",0.204848054926332
"reform",0.202836233613101
"worth",0.202814076942926
"management",0.202032028642219
"relat",0.202019810256628
"resourc",0.201748914579689
"effort",0.2015029914729
"commerci",0.201499793448802
"presid",0.200330274273177
"consult",0.199858334534168
"intern",0.198907716034906
"attempt",0.19803023412726
"detail",0.197602079922779
"long",0.197171658753153
"clear",0.196690644339853
"intend",0.195497429146166
"aim",0.195290038730062
"meet",0.194067577574322
"product",0.19400751792842
"system",0.193884855635297
"paid",0.192871437719717
"open",0.192705728712811
"execut",0.192186141720879
"multilater",0.190930824497753
"fail",0.190504817770239
"stateown",0.190406671617297
"governor",0.190391115204828
"propos",0.190183723336851
"alleg",0.189629853190343
"sourc",0.189359330920763
"however",0.189174782700526
"elect",0.188632624550399
"situat",0.188235681483376
"revenu",0.18768383912732
"press",0.187597815223722
"opposit",0.187557458096023
"build",0.186810437934018
"negoti",0.186764858579268
"restructur",0.18665357236138
"launch",0.186524525163626
"prime",0.185617014266631
"note",0.185319542006743
"delay",0.185108346843468
"agenc",0.184984700237934
"amount",0.184875445605047
"road",0.184742693291403
"depend",0.184295465443999
"budget",0.18378714238647
"militari",0.183605409706911
"water",0.183447703996355
"seek",0.18332573884352
"repres",0.183096942518582
"promis",0.181378180069164
"charg",0.181106317239942
"releas",0.180714112788324
"requir",0.180681837700969
"critic",0.180612105441245
"peopl",0.180555872387842
"sign",0.180359216949698
"public",0.17998545099441
"money",0.179909081116566
"express",0.179785943498914
"carri",0.177918173144918
"full",0.177600908052141
"paper",0.177315413942891
"agricultur",0.176579259233788
"right",0.176375154732367
"present",0.176291395848097
"pledg",0.175892439793876
"banks",0.175799834482966
"face",0.175785162235688
"institutions",0.17574606723431
"inform",0.175721206299261
"major",0.175477672675922
"law",0.17541674798438
"cabinet",0.175244781708189
"promot",0.174782466327015
"alloc",0.174120155554795
"court",0.173866242495044
"commiss",0.173793650940529
"highlight",0.173665341234799
"african",0.17341713735632
"prepar",0.172905365730701
"access",0.172427286675739
"affair",0.172246684217666
"accept",0.17135877367436
"projects",0.171062791166658
"action",0.170940920637888
"reforms",0.170815717998044
"countries",0.170090052814861
"administr",0.16932830942334
"creat",0.169051213980501
"provis",0.168601950990737
"payment",0.168505623140899
"electr",0.168105429987679
"local",0.168027410629596
"disput",0.167949919291065
"council",0.167581302386248
"offici",0.167270310665277
"independ",0.166675333995062
"recommend",0.166669248307651
"talk",0.16630249503415
"budgetari",0.16613396515784
"parliament",0.165339660326931
"replac",0.164806180368461
"network",0.164731793013422
"case",0.164496350618416
"schedul",0.163215429952634
"author",0.162946638957868
"popul",0.161729296800049
"basic",0.161165246080297
"rural",0.160716197349082
"foreign",0.160549512692787
"assembl",0.160506978384533
"determin",0.160240050680045
"repay",0.160145844791394
"met",0.16009616844705
"port",0.159947949384537
"failur",0.15988152267978
"guarante",0.159243510662411
"enhanc",0.158460845746252
"decemb",0.15811074342746
"salari",0.157982149008912
"design",0.157784259327931
"novemb",0.157561435894236
"economy",0.157279035112881
"legisl",0.156244141514845
"question",0.155899123306771
"address",0.155595031821099
"difficulti",0.155316493078395
"stabil",0.154211513391638
"infrastructure",0.15358666212575
"special",0.152800287153668
"focus",0.152505958503877
"legal",0.152224529633814
"deputi",0.151915061166773
"time",0.151642169529362
"governorth",0.151432913372912
"januari",0.151414115741727
"found",0.151317953017568
"formal",0.151191939788666
"structur",0.150693509124483
"strateg",0.150440379601619
"step",0.150048096251323
"addition",0.1499226682199
"senior",0.149809286290128
"perform",0.149798635900151
"collect",0.14971826377608
"day",0.149306134495292
"run",0.14921330625893
"unabl",0.148801132964119
"figur",0.148582686309834
"outstand",0.148345727405429
"expenditur",0.148247151725709
"origin",0.148195375809471
"list",0.148191771713869
"chief",0.147976523562918
"protect",0.147619248463763
"follow",0.147234687557915
"declar",0.147112699044137
"leader",0.146805979020208
"generat",0.146564627965417
"widespread",0.146492936913997
"believ",0.146343732081772
"loans",0.146109654769626
"challeng",0.146053694627684
"reduc",0.145695331646675
"suffer",0.145585441808547
"franc",0.144705663601088
"infrastructur",0.144641387060532
"futur",0.144517555333789
"potenti",0.144454274645679
"monitor",0.143973609008845
"link",0.143475841691774
"februari",0.143216906322764
"areas",0.142865413083728
"small",0.142727001209534
"struggl",0.142641638931882
"addit",0.142555332265263
"stake",0.142173916006335
"restor",0.141588469812917
"construct",0.141528656733289
"distribut",0.141502784544991
"draw",0.14140592189864
"custom",0.140714175928367
"busi",0.140337998065276
"decis",0.140334785287319
"produc",0.139935260595863
"constitut",0.139780169379573
"union",0.139606365474278
"mine",0.13946968811864
"ensur",0.139172251541706
"role",0.139168991672518
"set",0.139151029485052
"domin",0.138993820006927
"agriculture",0.138682722549421
"appar",0.138433538302672
"health",0.13755426743716
"sell",0.137417403886657
"specif",0.137019053776905
"regul",0.136768875976668
"achiev",0.136297042965043
"find",0.136035199069118
"remov",0.135801588124842
"part",0.135518861872794
"benefit",0.135470058288764
"tie",0.135308831814362
"land",0.135111758659102
"draft",0.134907019307091
"late",0.13471476951903
"serv",0.134694073666358
"juli",0.134502083409465
"enterpris",0.134274085119355
"sought",0.134103381595786
"particip",0.13409934097531
"need",0.13404917858955
"put",0.13370477301913
"transit",0.13335577224242
"give",0.133193512109381
"suppli",0.132383369815763
"revenue",0.132364124060009
"movement",0.131978841829735
"education",0.131908083897933
"industry",0.131069931564385
"petroleum",0.130813342033379
"criticis",0.130756578047365
"owe",0.130445278724409
"limit",0.130323926262042
"conduct",0.130294572919935
"introduc",0.129963733031787
"demonstr",0.128866319060969
"funds",0.128719942258252
"offic",0.128633465713039
"fact",0.128447063072692
"privatis",0.128105789516074
"hold",0.12796333303797
"assess",0.127937997522923
"problems",0.127868070595583
"march",0.127625867980618
"war",0.127360263839108
"neighbour",0.127348790451168
"tourism",0.127320687383059
"share",0.127309893263837
"earli",0.126498421962536
"one",0.126430819379373
"parliamentari",0.126221572767618
"production",0.12589134956763
"environment",0.125398853757459
"appear",0.12537434696387
"encourag",0.12526678020191
"live",0.125120731537434
"argu",0.124939810212559
"similar",0.124669971771253
"free",0.12446563720517
"greater",0.124199258157804
"practic",0.123844746862858
"estim",0.123826278365966
