"iso2c","year","country","mean_stress","countryid","Equity","EquityR5","EquityH5","EquityR","EquityH","ImpLoans","ImpLoansR5","ImpLoansH5","ImpLoansR","ImpLoansH","Costs","CostsR5","CostsH5","CostsR","CostsH","ROAA","ROAAR5","ROAAH5","ROAAR","ROAAH","NetLoans","NetLoansR5","NetLoansH5","NetLoansR","NetLoansH","Z","NCO","Liquid","capital_asset_ratio","credit_deposits_ratio","npl_ratio","reg_capital_assets","provisions_to_npls","exchange_rate_usd","stock_price_volatility","stock_returns","private_credit","income","exchange_rate_change","private_credit_change","log_imploans","exchange_rate_usd_log","private_credit_log"
"AE",2003,"United Arab Emirates",0.576527709486425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,89.15767,14.3,18.6,88.5,3.6725,NA,16.13588,34.0224,"High income: nonOECD",0,-23.3372315471402,NA,1.3008726290659,3.52701913121662
"AE",2004,"United Arab Emirates",0.583101532876799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1,88.18123,12.5,16.9,94.6,3.6725,11.59169,37.8627,34.06525,"High income: nonOECD",0,-54.5070417080494,NA,1.3008726290659,3.52827780310961
"AE",2005,"United Arab Emirates",0.494366495733781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9,91.80147,8.3,17.4,95.7,3.6725,21.25167,133.7302,37.3099,"High income: nonOECD",0,-36.2425775634791,NA,1.3008726290659,3.61925870698289
"AE",2006,"United Arab Emirates",0.430516305445728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9,98.82602,6.4,17.3,94.7,3.6725,30.03882,-24.98076,41.43376,"High income: nonOECD",NA,NA,NA,1.3008726290659,3.72409600746247
"AE",2007,"United Arab Emirates",0.303257520905923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6,98.32833,2.6,14.4,90.1,3.6725,21.68071,-7.325856,56.03238,"High income: nonOECD",0,50.1809975368468,NA,1.3008726290659,4.02592973791939
"AE",2008,"United Arab Emirates",0.443130173146899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,110.3002,2.3,13,78,3.6725,20.07619,24.51312,58.51852,"High income: nonOECD",0,41.2339116700971,NA,1.3008726290659,4.06934328533314
"AE",2009,"United Arab Emirates",0.681099903163081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,116.6169,4.3,19.9,85,3.6725,28.8274,-38.24649,83.54062,"High income: nonOECD",0,145.54593444319,NA,1.3008726290659,4.42533298063594
"AE",2010,"United Arab Emirates",0.653618625438623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.7,108.7968,5.6,20.7,89,3.6725,22.9296,-0.1145342,74.88027,"High income: nonOECD",0,126.941543366651,NA,1.3008726290659,4.31589043793207
"AE",2011,"United Arab Emirates",0.726825439430446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2,105.1668,7.2,20,90,3.6725,12.45223,-3.112477,62.68808,"High income: nonOECD",0,4.22090121171938,NA,1.3008726290659,4.13817131792262
"AF",2003,"Afghanistan",0.811760628557906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.7627535833333,NA,NA,NA,"Low income",-11.9448267196365,NA,NA,3.88696677519522,NA
"AF",2004,"Afghanistan",0.85276438843178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.8453125,NA,NA,NA,"Low income",-3.33225257564727,NA,NA,3.86797315071789,NA
"AF",2005,"Afghanistan",0.870239624528761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.4945975,NA,NA,NA,"Low income",-1.65007948335818,NA,NA,3.90186352220415,NA
"AF",2006,"Afghanistan",0.904144354542715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.90562,NA,NA,NA,49.9253308333333,NA,NA,4.688224,"Low income",5.63301278660538,NA,NA,3.9105285058865,1.54505383270317
"AF",2007,"Afghanistan",0.850912471405455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.81044,NA,NA,NA,49.9620177703972,NA,NA,4.90393,"Low income",5.18316316183906,NA,NA,3.91126307215993,1.59003692447004
