"iso2c","year","lv_bank_crisis"
"AL",1976,0
"AL",1977,0
"AL",1978,0
"AL",1979,0
"AL",1980,0
"AL",1981,0
"AL",1982,0
"AL",1983,0
"AL",1984,0
"AL",1985,0
"AL",1986,0
"AL",1987,0
"AL",1988,0
"AL",1989,0
"AL",1990,0
"AL",1991,0
"AL",1992,0
"AL",1993,0
"AL",1994,1
"AL",1995,0
"AL",1996,0
"AL",1997,0
"AL",1998,0
"AL",1999,0
"AL",2000,0
"AL",2001,0
"AL",2002,0
"AL",2003,0
"AL",2004,0
"AL",2005,0
"AL",2006,0
"AL",2007,0
"AL",2008,0
"AL",2009,0
"AL",2010,0
"AL",2011,0
"AM",1976,0
"AM",1977,0
"AM",1978,0
"AM",1979,0
"AM",1980,0
"AM",1981,0
"AM",1982,0
"AM",1983,0
"AM",1984,0
"AM",1985,0
"AM",1986,0
"AM",1987,0
"AM",1988,0
"AM",1989,0
"AM",1990,0
"AM",1991,0
"AM",1992,0
"AM",1993,0
"AM",1994,1
"AM",1995,0
"AM",1996,0
"AM",1997,0
"AM",1998,0
"AM",1999,0
"AM",2000,0
"AM",2001,0
"AM",2002,0
"AM",2003,0
"AM",2004,0
"AM",2005,0
"AM",2006,0
"AM",2007,0
"AM",2008,0
"AM",2009,0
"AM",2010,0
"AM",2011,0
"AR",1976,0
"AR",1977,0
"AR",1978,0
"AR",1979,0
"AR",1980,1
"AR",1981,1
"AR",1982,1
"AR",1983,0
"AR",1984,0
"AR",1985,0
"AR",1986,0
"AR",1987,0
"AR",1988,0
"AR",1989,1
"AR",1990,1
"AR",1991,1
"AR",1992,0
"AR",1993,0
"AR",1994,0
"AR",1995,1
"AR",1996,0
"AR",1997,0
"AR",1998,0
"AR",1999,0
"AR",2000,0
"AR",2001,1
"AR",2002,1
"AR",2003,1
"AR",2004,0
"AR",2005,0
"AR",2006,0
"AR",2007,0
"AR",2008,0
"AR",2009,0
"AR",2010,0
"AR",2011,0
"AT",1976,0
"AT",1977,0
"AT",1978,0
"AT",1979,0
"AT",1980,0
"AT",1981,0
"AT",1982,0
"AT",1983,0
"AT",1984,0
"AT",1985,0
"AT",1986,0
"AT",1987,0
"AT",1988,0
"AT",1989,0
"AT",1990,0
"AT",1991,0
"AT",1992,0
"AT",1993,0
"AT",1994,0
"AT",1995,0
"AT",1996,0
"AT",1997,0
"AT",1998,0
"AT",1999,0
"AT",2000,0
"AT",2001,0
"AT",2002,0
"AT",2003,0
"AT",2004,0
"AT",2005,0
"AT",2006,0
"AT",2007,0
"AT",2008,1
"AT",2009,1
"AT",2010,1
"AT",2011,1
"AZ",1976,0
"AZ",1977,0
"AZ",1978,0
"AZ",1979,0
"AZ",1980,0
"AZ",1981,0
"AZ",1982,0
"AZ",1983,0
"AZ",1984,0
"AZ",1985,0
"AZ",1986,0
"AZ",1987,0
"AZ",1988,0
"AZ",1989,0
"AZ",1990,0
"AZ",1991,0
"AZ",1992,0
"AZ",1993,0
"AZ",1994,0
"AZ",1995,1
"AZ",1996,0
"AZ",1997,0
"AZ",1998,0
"AZ",1999,0
"AZ",2000,0
"AZ",2001,0
"AZ",2002,0
"AZ",2003,0
"AZ",2004,0
"AZ",2005,0
"AZ",2006,0
"AZ",2007,0
"AZ",2008,0
"AZ",2009,0
"AZ",2010,0
"AZ",2011,0
"BA",1976,0
"BA",1977,0
"BA",1978,0
"BA",1979,0
"BA",1980,0
"BA",1981,0
"BA",1982,0
"BA",1983,0
"BA",1984,0
"BA",1985,0
"BA",1986,0
"BA",1987,0
"BA",1988,0
"BA",1989,0
"BA",1990,0
"BA",1991,0
"BA",1992,1
"BA",1993,1
"BA",1994,1
"BA",1995,1
"BA",1996,1
"BA",1997,0
"BA",1998,0
"BA",1999,0
"BA",2000,0
"BA",2001,0
"BA",2002,0
"BA",2003,0
"BA",2004,0
"BA",2005,0
"BA",2006,0
"BA",2007,0
"BA",2008,0
"BA",2009,0
"BA",2010,0
"BA",2011,0
"BD",1976,0
"BD",1977,0
"BD",1978,0
"BD",1979,0
"BD",1980,0
"BD",1981,0
"BD",1982,0
"BD",1983,0
"BD",1984,0
"BD",1985,0
"BD",1986,0
"BD",1987,1
"BD",1988,0
"BD",1989,0
"BD",1990,0
"BD",1991,0
"BD",1992,0
"BD",1993,0
"BD",1994,0
"BD",1995,0
"BD",1996,0
"BD",1997,0
"BD",1998,0
"BD",1999,0
"BD",2000,0
"BD",2001,0
"BD",2002,0
"BD",2003,0
"BD",2004,0
"BD",2005,0
"BD",2006,0
"BD",2007,0
"BD",2008,0
"BD",2009,0
"BD",2010,0
"BD",2011,0
"BE",1976,0
"BE",1977,0
"BE",1978,0
"BE",1979,0
"BE",1980,0
"BE",1981,0
"BE",1982,0
"BE",1983,0
"BE",1984,0
"BE",1985,0
"BE",1986,0
"BE",1987,0
"BE",1988,0
"BE",1989,0
"BE",1990,0
"BE",1991,0
"BE",1992,0
"BE",1993,0
"BE",1994,0
"BE",1995,0
"BE",1996,0
"BE",1997,0
"BE",1998,0
"BE",1999,0
