"iso2c","country","date","rr_distress"
"FI","Finland",1974-09-01,0
"FI","Finland",1975-03-01,0
"FI","Finland",1975-09-01,0
"FI","Finland",1976-03-01,0
"FI","Finland",1976-09-01,0
"FI","Finland",1977-03-01,0
"FI","Finland",1977-09-01,0
"FI","Finland",1978-03-01,0
"FI","Finland",1978-09-01,0
"FI","Finland",1979-03-01,0
"FI","Finland",1979-09-01,0
"FI","Finland",1980-03-01,0
"FI","Finland",1980-09-01,0
"FI","Finland",1981-03-01,0
"FI","Finland",1981-09-01,0
"FI","Finland",1982-03-01,0
"FI","Finland",1982-09-01,0
"FI","Finland",1983-03-01,0
"FI","Finland",1983-09-01,0
"FI","Finland",1984-03-01,0
"FI","Finland",1984-09-01,0
"FI","Finland",1985-03-01,0
"FI","Finland",1985-09-01,0
"FI","Finland",1986-03-01,0
"FI","Finland",1986-09-01,0
"FI","Finland",1987-03-01,0
"FI","Finland",1987-09-01,0
"FI","Finland",1988-03-01,0
"FI","Finland",1988-09-01,0
"FI","Finland",1989-03-01,0
"FI","Finland",1989-09-01,0
"FI","Finland",1990-03-01,0
"FI","Finland",1990-09-01,0
"FI","Finland",1991-03-01,0
"FI","Finland",1991-09-01,0
"FI","Finland",1992-03-01,2
"FI","Finland",1992-09-01,6
"FI","Finland",1993-03-01,8
"FI","Finland",1993-09-01,5
"FI","Finland",1994-03-01,3
"FI","Finland",1994-09-01,0
"FI","Finland",1995-03-01,0
"FI","Finland",1995-09-01,0
"FI","Finland",1996-03-01,0
"FI","Finland",1996-09-01,0
"FI","Finland",1997-03-01,0
"FI","Finland",1997-09-01,0
"FI","Finland",1998-03-01,0
"FI","Finland",1998-09-01,0
"FI","Finland",1999-03-01,0
"FI","Finland",1999-09-01,0
"FI","Finland",2000-03-01,0
"FI","Finland",2000-09-01,0
"FI","Finland",2001-03-01,0
"FI","Finland",2001-09-01,0
"FI","Finland",2002-03-01,0
"FI","Finland",2002-09-01,0
"FI","Finland",2003-03-01,0
"FI","Finland",2003-09-01,0
"FI","Finland",2004-03-01,0
"FI","Finland",2004-09-01,0
"FI","Finland",2005-03-01,0
"FI","Finland",2005-09-01,0
"FI","Finland",2006-03-01,0
"FI","Finland",2006-09-01,0
"FI","Finland",2007-03-01,0
"FR","France",1974-09-01,0
"FR","France",1975-03-01,0
"FR","France",1975-09-01,0
"FR","France",1976-03-01,0
"FR","France",1976-09-01,0
"FR","France",1977-03-01,0
"FR","France",1977-09-01,0
"FR","France",1978-03-01,0
"FR","France",1978-09-01,0
"FR","France",1979-03-01,0
"FR","France",1979-09-01,0
"FR","France",1980-03-01,0
"FR","France",1980-09-01,0
"FR","France",1981-03-01,0
"FR","France",1981-09-01,0
"FR","France",1982-03-01,0
"FR","France",1982-09-01,0
"FR","France",1983-03-01,0
"FR","France",1983-09-01,0
"FR","France",1984-03-01,0
"FR","France",1984-09-01,0
"FR","France",1985-03-01,0
"FR","France",1985-09-01,0
"FR","France",1986-03-01,0
"FR","France",1986-09-01,0
"FR","France",1987-03-01,0
"FR","France",1987-09-01,0
"FR","France",1988-03-01,0
"FR","France",1988-09-01,0
"FR","France",1989-03-01,0
"FR","France",1989-09-01,0
"FR","France",1990-03-01,0
"FR","France",1990-09-01,0
"FR","France",1991-03-01,0
"FR","France",1991-09-01,1
"FR","France",1992-03-01,0
"FR","France",1992-09-01,0
"FR","France",1993-03-01,0
"FR","France",1993-09-01,0
"FR","France",1994-03-01,0
"FR","France",1994-09-01,0
"FR","France",1995-03-01,2
"FR","France",1995-09-01,4
"FR","France",1996-03-01,5
"FR","France",1996-09-01,5
"FR","France",1997-03-01,3
"FR","France",1997-09-01,0
"FR","France",1998-03-01,0
"FR","France",1998-09-01,0
"FR","France",1999-03-01,0
"FR","France",1999-09-01,0
"FR","France",2000-03-01,0
"FR","France",2000-09-01,0
"FR","France",2001-03-01,0
"FR","France",2001-09-01,0
"FR","France",2002-03-01,0
"FR","France",2002-09-01,0
"FR","France",2003-03-01,0
"FR","France",2003-09-01,0
"FR","France",2004-03-01,0
"FR","France",2004-09-01,0
"FR","France",2005-03-01,0
"FR","France",2005-09-01,0
"FR","France",2006-03-01,0
"FR","France",2006-09-01,0
"FR","France",2007-03-01,0
"DE","Germany",1974-09-01,2
"DE","Germany",1975-03-01,0
"DE","Germany",1975-09-01,0
"DE","Germany",1976-03-01,0
"DE","Germany",1976-09-01,0
"DE","Germany",1977-03-01,0
"DE","Germany",1977-09-01,0
"DE","Germany",1978-03-01,0
"DE","Germany",1978-09-01,0
"DE","Germany",1979-03-01,0
"DE","Germany",1979-09-01,0
"DE","Germany",1980-03-01,0
"DE","Germany",1980-09-01,0
"DE","Germany",1981-03-01,0
"DE","Germany",1981-09-01,0
"DE","Germany",1982-03-01,0
"DE","Germany",1982-09-01,0
"DE","Germany",1983-03-01,0
"DE","Germany",1983-09-01,0
"DE","Germany",1984-03-01,0
"DE","Germany",1984-09-01,0
"DE","Germany",1985-03-01,0
"DE","Germany",1985-09-01,0
"DE","Germany",1986-03-01,0
"DE","Germany",1986-09-01,0
"DE","Germany",1987-03-01,0
"DE","Germany",1987-09-01,0
"DE","Germany",1988-03-01,0
"DE","Germany",1988-09-01,0
"DE","Germany",1989-03-01,0
"DE","Germany",1989-09-01,0
"DE","Germany",1990-03-01,0
"DE","Germany",1990-09-01,0
"DE","Germany",1991-03-01,0
"DE","Germany",1991-09-01,0
"DE","Germany",1992-03-01,0
"DE","Germany",1992-09-01,0
"DE","Germany",1993-03-01,0
"DE","Germany",1993-09-01,0
"DE","Germany",1994-03-01,0
"DE","Germany",1994-09-01,0
"DE","Germany",1995-03-01,0
"DE","Germany",1995-09-01,0
"DE","Germany",1996-03-01,0
"DE","Germany",1996-09-01,0
"DE","Germany",1997-03-01,0
"DE","Germany",1997-09-01,0
"DE","Germany",1998-03-01,0
"DE","Germany",1998-09-01,0
"DE","Germany",1999-03-01,0
"DE","Germany",1999-09-01,0
"DE","Germany",2000-03-01,0
"DE","Germany",2000-09-01,0
"DE","Germany",2001-03-01,0
"DE","Germany",2001-09-01,0
"DE","Germany",2002-03-01,0
"DE","Germany",2002-09-01,0
"DE","Germany",2003-03-01,1
"DE","Germany",2003-09-01,0
"DE","Germany",2004-03-01,0
"DE","Germany",2004-09-01,0
"DE","Germany",2005-03-01,0
"DE","Germany",2005-09-01,0
"DE","Germany",2006-03-01,0
"DE","Germany",2006-09-01,0
"DE","Germany",2007-03-01,0
"IS","Iceland",1974-09-01,0
"IS","Iceland",1975-03-01,0
"IS","Iceland",1975-09-01,0
"IS","Iceland",1976-03-01,0
"IS","Iceland",1976-09-01,0
"IS","Iceland",1977-03-01,0
"IS","Iceland",1977-09-01,0
"IS","Iceland",1978-03-01,0
"IS","Iceland",1978-09-01,0
"IS","Iceland",1979-03-01,0
