"word_stem","variable_importance"
"abil",2.28112929642861e-06
"abroad",1.91691058867306e-06
"acceler",7.08231802297542e-06
"accept",1.44017226194063e-06
"access",6.0356872562141e-06
"accord",0.000227799085882192
"account",1.31123374463264e-05
"achiev",1.84287432043298e-06
"act",1.35843792097174e-06
"action",5.76946569176988e-06
"activ",6.97191512773018e-06
"activity",1.61836118587599e-06
"addit",9.1562762291952e-06
"addition",2.55710955095704e-06
"address",2.31653069077596e-06
"adjust",5.90086173481972e-06
"administr",5.69278841266372e-06
"adopt",1.33095493716757e-06
"affect",5.85118320546386e-06
"africa",3.18608826592799e-06
"african",2.52232382706188e-06
"agenc",2.70610577396727e-06
"agenda",5.21936294980381e-07
"agre",4.60118243776013e-05
"agreement",5.98634299747703e-05
"agricultur",5.02972980224495e-06
"agriculture",9.8530651407611e-07
"ahead",1.85587185389698e-06
"aid",1.19119446924908e-05
"aim",7.41095537749492e-06
"albeit",1.12443687835777e-06
"alleg",3.92401479316936e-06
"alloc",7.53245295271907e-07
"allow",2.556026485859e-06
"although",2.03493590988977e-05
"amid",9.79801929307224e-07
"amount",1.11442469534619e-05
"announc",5.86885939552513e-05
"annual",7.22212176531586e-06
"another",1.26595451494969e-06
"anticip",1.75296715475989e-06
"appar",1.58266172689447e-06
"appear",9.28013346336814e-06
"appoint",4.02065212298664e-06
"appreci",1.19932165742839e-05
"approach",2.47447813758027e-06
"approv",2.79044854120234e-05
"april",1.09328338387275e-05
"area",1.61077874717559e-05
"argu",1.57210926313057e-06
"arrang",2.71596665474652e-06
"asia",2.75517140098284e-06
"asian",8.03306453573328e-06
"assess",1.19148716700237e-06
"asset",2.23658789796641e-05
"assets",6.38313743663596e-07
"assist",1.00308840738669e-05
"assum",4.8768993655171e-06
"assume",2.59466623103855e-06
"assumpt",3.66643570991998e-06
"attempt",4.20587837978507e-06
"attract",3.48278209132292e-06
"attribut",1.09097383531548e-06
"august",9.97413993466022e-06
"author",1.34066790128223e-05
"averag",5.13497808983137e-05
"avoid",1.22543503312084e-06
"back",9.946332673434e-06
"balanc",8.51102343158257e-06
"banco",0.000137114993270175
"bank",0.0152503518270195
"banks",0.000236643852248047
"banqu",0.000106074968361593
"base",6.90908354088794e-06
"basi",1.69971772728497e-05
"basis",9.50305585517969e-07
"began",1.64956118061922e-06
"begin",4.49826918274052e-06
"begun",7.43438665168489e-07
"believ",1.36187365876359e-06
"benchmark",5.50691641109673e-06
"benefit",4.15048161122832e-06
"bid",1.29606054674712e-06
"bilater",2.36009372717717e-06
"bill",2.66228043731436e-06
"blend",1.61890153074827e-05
"board",2.28773090524486e-05
"bolster",9.27978204334486e-07
"bond",9.73638541343824e-06
"boom",3.6497676654307e-06
"boost",1.10798673427222e-05
"borrow",9.45044250684111e-06
"borrowing",7.32299145120466e-07
"brent",1.57619057336409e-05
"bring",4.60083040346436e-06
"broad",4.64379167801208e-06
"brought",1.43673228425442e-06
"budget",2.16930455619479e-05
"build",4.39107297275759e-06
"buoyant",6.6582837106852e-07
"burden",1.97060436712266e-06
"busi",1.80081816466528e-05
"buy",2.94033157727002e-06
"cabinet",3.06692170287034e-06
"calendar",8.11009788514039e-06
"call",1.74029820936718e-05
"campaign",1.24917321752963e-06
"capac",2.8131172377786e-06
"capacity",6.00216035571038e-07
"capit",1.39047434551593e-05
"capital",3.87964644766208e-05
"carri",1.87833347658057e-06
"case",6.41213619400971e-06
"cash",2.89956313261102e-06
"caus",1.65466486197867e-06
"cautious",2.7188421498303e-06
"centr",1.99825676159661e-06
"central",6.19321355748501e-05
"challeng",2.08638111409841e-06
"chang",4.88692190338387e-06
"charg",3.4980755857411e-06
"china",7.65855588044696e-06
"civil",5.92842004626986e-06
"claim",8.49530792626216e-06
"clear",2.62706371105651e-06
"close",5.57978080451978e-06
"coalit",1.58268060258624e-06
"collaps",3.22623203275956e-06
"collect",1.76854076461839e-06
"combin",4.60635194701311e-06
"come",2.03898982550029e-06
"commerci",2.11945279287199e-05
"commiss",2.31399491202078e-05
"commit",8.45923429965776e-06
"committe",2.28589977179495e-06
"commod",1.97864576392781e-05
"compani",0.000177254112429106
"companies",3.88789894248878e-06
"company",4.35032800757144e-05
"compar",2.99395826531051e-05
"compens",1.53424145661099e-06
"competit",6.56630991493552e-06
"complet",1.89829780507953e-05
"concern",1.08308157576513e-05
"condit",5.93204776222512e-06
"conditions",1.31699790108839e-06
"conduct",2.09770647662742e-06
"confid",1.45091837738695e-05
"confidence",2.22290764767168e-06
"confirm",1.8837763580336e-06
"conflict",1.19961121719523e-06
"congress",1.67999069583613e-06
"consequ",1.22490021611003e-06
"consid",8.31690190868848e-07
"consider",3.73933298726106e-06
"consist",1.74897763071211e-06
"consolid",3.6289248937885e-06
"constitut",1.28561965206371e-06
"constrain",3.27333353873107e-06
"constraint",1.93939946094986e-06
"construct",2.82855330143326e-05
"construction",3.58686731664511e-07
"consum",2.88890774838223e-05
"consumpt",4.70280054837936e-05
"consumption",4.07678179994352e-06
"continu",0.000105492244339069
"continue",1.01058698782965e-06
"contract",2.94487226351043e-05
"contrast",2.78959051211664e-06
"contribut",6.0836827015587e-06
"control",2.33899914573424e-05
"corpor",1.26301354398486e-05
"corrupt",2.68877900778369e-06
"cost",1.04101309715141e-05
"costs",4.80078875001838e-06
"council",3.2443182420217e-06
"countri",0.000360489152224509
"countries",5.3081575462344e-06
"country",8.41675031851604e-06
"coupl",1.75243895349622e-06
"court",2.54395548732242e-06
"cover",1.77631072943764e-05
"creat",4.2806894703608e-06
"creation",4.32426451140142e-07
"credit",2.92801024708437e-05
"crisi",2.58541092602778e-05
"crisis",1.76212518139454e-05
"critic",3.08894703193328e-06
"crude",2.50626537324886e-06
"curb",2.59864302339417e-06
"currenc",2.87227475469497e-05
"currency",5.02027314365304e-06
"current",7.75112281511295e-06
"currentaccount",0.000194630942620474
"custom",1.93959037356154e-06
"cut",1.85600264943971e-05
"damag",1.49041227537253e-06
"dampen",3.63543244313005e-06
"data",1.58966363313002e-05
"date",7.48806435994216e-06
"day",1.52561574143319e-05
"deal",1.80498040517875e-05
"debt",5.22046532224559e-05
"deceler",7.41548283327638e-06
"decemb",2.06937630050299e-05
"december",9.50220829530612e-07
"decid",2.78397826674051e-06
"decis",4.20734103506701e-06
"declin",1.7091825978303e-05
"deficit",0.000125865136228481
"degre",1.62923952930925e-06
"delay",7.83711433931138e-06
"demand",0.000717180742062457
"democrat",1.27550794744152e-06
"depend",5.83179606869138e-06
"deposit",4.19902067449064e-05
"depreci",8.16895713969407e-06
"design",3.3115253307081e-06
"despit",3.32156377809991e-06
"detail",3.16296860701558e-06
"deterior",4.30540874205993e-06
"determin",2.32578914330277e-05
"develop",0.000827398948093745
"development",1.45611177712162e-05
"differ",1.11936656624923e-06
"differenti",5.12076364857404e-06
"difficult",7.39849964029039e-06
"difficulti",4.06092984428723e-06
"direct",9.68805088346101e-06
"disburs",1.82306407935161e-06
"discount",3.14444838327319e-06
"discuss",3.11268817233145e-06
"dollar",5.23677448392026e-05
"domest",3.30970829854102e-05
"domin",3.25126338454614e-06
"donor",1.05522143020466e-05
"doubl",7.76058381592013e-07
"doubt",1.63606978437822e-06
"downturn",3.90947589531084e-06
"downward",3.71264578099098e-06
"draw",1.76077196945766e-06
"drive",1.15093844149044e-06
"driven",5.0846122041126e-06
"drop",9.21773808995413e-07
"due",4.75207885812094e-06
"earli",1.23791106151541e-05
"earlier",1.94569484984821e-05
"earn",1.0307943143568e-05
"eas",3.40549006845604e-05
"east",1.17631138852958e-06
"ecb",2.2154001772601e-05
"econom",4.93888255304759e-05
"economi",2.61180087536873e-05
"economies",3.06299829133198e-06
"economist",9.27759071461485e-06
"economy",1.12488303084571e-05
"educ",9.06098835763543e-07
"effect",1.30467241372245e-05
"effort",8.36338051428715e-06
"elect",6.15650142704633e-06
"election",1.19276268925753e-06
"elector",1.78678380998577e-06
"electr",3.92741002045462e-06
"emerg",4.39989367836605e-06
"employ",4.11064327546104e-06
"enabl",7.54452077376271e-07
"encourag",4.89476523201173e-06
"end",2.69104890019667e-05
"energi",6.0127131575764e-06
"enhanc",2.24032432240394e-06
"ensur",4.93165755887338e-06
"enter",2.22915999214171e-06
"enterpris",1.14913902402579e-05
"environ",1.41199593415034e-06
"environment",2.1400892847041e-06
"equiti",1.68164158929135e-06
"equival",3.71940865010505e-06
"establish",1.47769298594983e-05
"estim",9.29791772601352e-06
"eurm",1.86276439353416e-05
"euro",2.85104843362782e-05
"european",2.01227884397785e-05
"even",1.20160456506521e-06
"event",2.22177262999917e-06
"eventu",5.59228556476648e-07
"evid",1.13350050958252e-06
"exceed",2.04767518532026e-06
"except",-9.99421075136564e-08
"excess",2.71968015089687e-06
"exchang",2.53926173774609e-05
"exchanger",1.64349252346203e-05
"exclud",4.95034585451739e-06
"execut",6.59105679542301e-06
"exist",9.52975764632316e-06
"expand",9.98667661861964e-06
"expans",2.82008304572397e-05
"expect",0.000733906821948704
"expected",1.00125865347893e-06
"expenditur",5.45702126677882e-06
"expenditure",1.37056261971392e-06
"experienc",1.27114188397292e-06
"export",0.000125902215960626
"exports",7.17041958337486e-06
"express",3.0766560110406e-06
"extend",5.8187038815765e-06
"extens",9.93927249818359e-07
"extent",2.09017168380039e-06
"extern",1.37675484370725e-05
"extrem",9.45873329440208e-07
"face",7.49562093944404e-06
"facil",1.06250891124576e-05
"fact",4.27278758021998e-06
"factor",4.17207948328993e-06
"fail",3.26941747041413e-06
"failur",2.00136393063814e-06
"fair",2.80142734239616e-06
"fall",3.97383236571346e-05
"fallen",1.28640643108528e-06
"faster",3.13137031697984e-06
"favour",3.11524304040848e-06
"fdi",7.20535084152282e-06
"fear",3.2442825824909e-06
"februari",8.70267263691814e-06
"february",7.52343752214748e-07
"feder",9.22107473265878e-06
"fell",1.44919107067995e-05
"figur",1.13125250310075e-05
"final",6.19140011629968e-06
"financ",9.63981360783787e-05
"finance",7.56098341906282e-06
"finances",1.2251858585122e-06
"financi",0.00246239025310354
"find",1.95615854201826e-06
"firm",4.78395660678492e-06
"fiscal",5.86006480163453e-05
"fix",2.27213930458751e-06
"flow",1.06935450942636e-06
"focus",6.40708393693163e-06
"follow",1.5707829137152e-06
"food",9.72172149021617e-06
"forc",7.52350922025214e-06
"forecast",0.00224104692607731
"foreign",2.32440090597312e-05
"foreigncurr",5.79389222776272e-06
"foreignexchang",1.33097350042095e-05
"form",7.55008896270241e-06
"formal",1.08121529573894e-06
"forward",1.26064548658432e-06
"fourth",3.11444021050117e-06
"framework",2.50757389232049e-06
"franc",4.65687940534856e-05
"free",1.00954412326463e-06
"fuel",2.0786993954076e-06
"full",2.30972257707851e-06
"fulli",4.91378192296679e-06
"fund",0.000191437177394846
"funds",2.15987577938049e-06
"futur",3.16748354965387e-06
"gain",2.29070308290769e-06
"gas",8.93396082515638e-06
"gdp",0.000360674934102926
"general",1.38040837583387e-05
"generat",1.80412409433815e-06
"give",1.72977830609845e-06
"given",3.7698302851162e-06
"global",5.98414813848859e-05
"goal",2.1983757042352e-06
"good",5.88538337275342e-06
"goods",1.49882300204696e-06
"govern",0.00432807764083298
"government",3.64032561799348e-05
"governor",0.000121707639963046
"governorth",9.0897520006791e-05
"gradual",1.42962300970561e-05
"grant",1.14572700512911e-05
"greater",6.02462501369383e-06
"grew",4.29358571449357e-06
"gross",1.06471475183969e-06
"group",4.06292728350782e-05
"grow",1.38710919566225e-05
"growth",0.00153305177961772
"guarante",6.8599752892624e-06
"half",1.42778030269809e-05
"hand",1.41077350560221e-07
"hard",1.52368902857005e-06
"head",9.2341796298436e-06
