"word_stem","variable_importance"
"abil",1.44126222361787e-06
"abroad",1.24912753507326e-06
"absenc",4.28134748215507e-07
"acceler",8.58132619867698e-06
"accept",2.30272101645514e-06
"access",7.80899268208065e-06
"accord",4.53672777558946e-05
"account",6.40349502942105e-06
"accounts",6.02493112779854e-07
"accumul",3.90224507589252e-07
"achiev",1.34108553646136e-06
"act",8.67747629806874e-07
"action",1.73235672422477e-06
"activ",3.34635612441716e-06
"activity",8.83204469676768e-07
"add",5.36940192447677e-07
"addit",2.24107521009032e-06
"addition",2.58572796167382e-06
"address",1.57329304689532e-06
"adjust",3.60114580357571e-06
"administr",9.61519920984678e-06
"administration",9.04746603264815e-07
"adopt",1.82816758899421e-06
"advanc",2.61885510838507e-07
"advantag",3.62466710699422e-07
"advers",7.87956695172941e-07
"affair",2.35685733491393e-06
"affect",2.75595598754927e-06
"africa",4.78134710847699e-06
"african",1.06668005389859e-05
"agenc",2.20131315260426e-06
"agenda",3.94798099198023e-07
"agre",7.80963824256987e-05
"agreement",5.64820714019612e-05
"agricultur",4.75387013464189e-06
"agriculture",7.04853616919224e-07
"ahead",2.35817894938773e-06
"aid",1.40810729380516e-05
"aim",5.32358545015057e-06
"albeit",1.06149101165598e-06
"alleg",2.3190209973251e-06
"alloc",1.91971320065088e-06
"allow",2.08621545855233e-06
"although",4.6328450390332e-06
"ambiti",5.62224568781976e-07
"amid",1.38918176197062e-07
"amount",4.88359720898767e-06
"announc",3.77385208331561e-05
"annual",4.32535471411092e-06
"another",5.02363132388007e-07
"anticip",1.87822063237532e-06
"appar",2.5599226069134e-07
"appear",1.88820146830677e-06
"appli",5.69287532867562e-07
"appoint",8.65685085079429e-06
"appreci",2.72282125763099e-05
"approach",6.7576117425e-07
"approv",1.89104215485901e-05
"april",3.8301049858345e-06
"area",5.135157965769e-06
"areas",4.94886886381406e-07
"argu",1.3049746822592e-06
"arrang",7.11253907251087e-07
"asia",9.90873938611452e-07
"asian",2.22687004431804e-06
"assembl",1.34054979123741e-06
"assess",6.08113453124781e-07
"asset",4.1075001893666e-06
"assets",6.65923743269918e-07
"assist",4.29494377613871e-05
"assum",1.75982237192728e-06
"assume",3.88294884491406e-07
"assumpt",9.97050494556992e-07
"attack",1.85754266000716e-07
"attempt",5.89364348853035e-06
"attent",1.22506497680905e-07
"attract",1.77844768437751e-06
"attribut",4.58280684452561e-07
"august",6.33467881551816e-06
"author",1.28704828159381e-05
"averag",0.000114139382625159
"avoid",1.2328709980105e-06
"back",2.98622628122692e-06
