country,iso3c,date,pca_bag_pc1
Afghanistan,AFG,2003-02-01,0.0378156979087895
Afghanistan,AFG,2003-05-01,0.0986007974098849
Afghanistan,AFG,2003-11-01,0.0652670326178844
Afghanistan,AFG,2004-02-01,0.0986909134650223
Afghanistan,AFG,2004-05-01,0.151773682244197
Afghanistan,AFG,2004-08-01,0.0686110974731094
Afghanistan,AFG,2004-11-01,0.180674903776468
Afghanistan,AFG,2005-05-01,0.0767440605956823
Afghanistan,AFG,2005-08-01,0.0667744261415029
Afghanistan,AFG,2005-11-01,0.125334940677219
Afghanistan,AFG,2006-02-01,0.0992601336573493
Afghanistan,AFG,2006-04-01,0.131469764252843
Afghanistan,AFG,2006-07-01,0.136630500893828
Afghanistan,AFG,2006-10-01,0.132758534728283
Afghanistan,AFG,2007-01-01,0.179244180961862
Afghanistan,AFG,2007-04-01,0.0989322104890961
Afghanistan,AFG,2007-07-01,0.094009054258826
Afghanistan,AFG,2007-10-01,0.0912245536682336
Afghanistan,AFG,2008-01-01,0.112822311323596
Afghanistan,AFG,2008-04-01,0.0917676142613958
Afghanistan,AFG,2008-07-01,0.129330265245819
Afghanistan,AFG,2009-01-01,0.121107554121516
Afghanistan,AFG,2009-04-01,0.0626178205744177
Afghanistan,AFG,2009-07-01,0.101845561752521
Afghanistan,AFG,2009-10-01,0.0775364521173869
Afghanistan,AFG,2010-01-01,0.0504682046264128
Afghanistan,AFG,2010-04-01,0.0330471923942835
Afghanistan,AFG,2010-07-01,0.0877751643499619
Afghanistan,AFG,2010-10-01,0.0910976214239525
Afghanistan,AFG,2011-01-01,0.0359980721104629
Albania,ALB,2003-05-01,0.197231825323165
Albania,ALB,2003-08-01,0.222922903447473
Albania,ALB,2003-11-01,0.192305952515273
Albania,ALB,2004-02-01,0.300935581229499
Albania,ALB,2004-05-01,0.257237357200128
Albania,ALB,2004-08-01,0.328047795769899
Albania,ALB,2004-11-01,0.266817260787458
Albania,ALB,2005-02-01,0.219786856253931
Albania,ALB,2005-05-01,0.284886051557419
Albania,ALB,2005-08-01,0.33143200242571
Albania,ALB,2006-02-01,0.389224021686896
Albania,ALB,2006-05-01,0.311997123585937
Albania,ALB,2006-08-01,0.309547430362421
Albania,ALB,2006-11-01,0.201253089107933
Albania,ALB,2007-02-01,0.214741517141181
Albania,ALB,2007-06-01,0.304064433274416
Albania,ALB,2007-09-01,0.289260816521733
Albania,ALB,2007-12-01,0.266372395097035
Albania,ALB,2008-06-01,0.294794301473816
Albania,ALB,2008-09-01,0.117286577521272
Albania,ALB,2008-12-01,0.238245791534982
Albania,ALB,2009-03-01,0.29823131360107
Albania,ALB,2009-05-01,0.326210611133457
Albania,ALB,2009-08-01,0.229631033921469
Albania,ALB,2009-11-01,0.224648607356859
Albania,ALB,2010-02-01,0.221577893335251
Albania,ALB,2010-05-01,0.207780183286306
Albania,ALB,2010-11-01,0.142654764286381
Albania,ALB,2011-02-01,0.16263657129138
Albania,ALB,2011-05-01,0.111840776208889
Algeria,DZA,2003-01-01,0.0815299466677774
Algeria,DZA,2003-02-01,0.272305260520765
Algeria,DZA,2003-03-01,0.0416224566440838
Algeria,DZA,2003-04-01,0.0828544882398211
Algeria,DZA,2003-05-01,0.280306699925175
Algeria,DZA,2003-06-01,0.0884520270750858
Algeria,DZA,2003-07-01,0.0669904030800011
Algeria,DZA,2003-08-01,0.291710023519604
Algeria,DZA,2003-09-01,0.0776435328891304
Algeria,DZA,2003-11-01,0.183195816079318
Algeria,DZA,2003-12-01,0.0235610751785591
Algeria,DZA,2004-01-01,0.0168357469304341
Algeria,DZA,2004-03-01,0.0339261673968784
Algeria,DZA,2004-04-01,0.032020001231893
Algeria,DZA,2004-05-01,0.234517234174013
Algeria,DZA,2004-06-01,0.0454190335594732
Algeria,DZA,2004-07-01,0.0466091939932001
Algeria,DZA,2004-08-01,0.275548489038129
Algeria,DZA,2004-10-01,0.0624749255272105
Algeria,DZA,2004-11-01,0.323227192854961
Algeria,DZA,2004-12-01,0.0756581083714496
Algeria,DZA,2005-01-01,0.0798774782447659
Algeria,DZA,2005-02-01,0.311084135951885
Algeria,DZA,2005-03-01,0.0627798688764431
Algeria,DZA,2005-04-01,0.0593134135554654
Algeria,DZA,2005-06-01,0.0825642507206611
Algeria,DZA,2005-07-01,0.0474683908795399
Algeria,DZA,2005-08-01,0.293853852966624
Algeria,DZA,2005-09-01,0.0538601941436975
Algeria,DZA,2005-11-01,0.187702817144337
Algeria,DZA,2005-12-01,0.0516229419241341
Algeria,DZA,2006-01-01,0.0534227125502889
Algeria,DZA,2006-02-01,0.212679549270185
Algeria,DZA,2006-03-01,0.0704834846111173
Algeria,DZA,2006-04-01,0.0669236254813967
Algeria,DZA,2006-05-01,0.0713734263436572
Algeria,DZA,2006-06-01,0.198987443845809
Algeria,DZA,2006-07-01,0.070141897862041
Algeria,DZA,2006-08-01,0.060654991265428
Algeria,DZA,2006-09-01,0.127291964851481
Algeria,DZA,2006-10-01,0.0521649557167869
Algeria,DZA,2006-11-01,0.0504855174289469
Algeria,DZA,2007-01-01,0.0632561936475889
Algeria,DZA,2007-02-01,0.0648863912798904
Algeria,DZA,2007-03-01,0.36979366265489
Algeria,DZA,2007-05-01,0.0701659685466224
Algeria,DZA,2007-07-01,0.0549387406661727
Algeria,DZA,2007-08-01,0.0688198613883485
Algeria,DZA,2007-09-01,0.259305019566847
Algeria,DZA,2007-10-01,0.101950492721212
Algeria,DZA,2007-11-01,0.104552931374006
Algeria,DZA,2007-12-01,0.0924605558932673
Algeria,DZA,2008-01-01,0.128374068540035
Algeria,DZA,2008-02-01,0.0797233378849156
Algeria,DZA,2008-03-01,0.102401871756127
Algeria,DZA,2008-04-01,0.151689175204685
Algeria,DZA,2008-06-01,0.0911915631607542
Algeria,DZA,2008-07-01,0.109614395971072
Algeria,DZA,2008-08-01,0.104066981573592
Algeria,DZA,2008-09-01,0.0752823671714243
Algeria,DZA,2008-10-01,0.0580204404491715
Algeria,DZA,2008-12-01,0.100616587362501
Algeria,DZA,2009-01-01,0.0877096139336836
Algeria,DZA,2009-04-01,0.101869536292657
Algeria,DZA,2009-05-01,0.0954421045969746
Algeria,DZA,2009-06-01,0.144942909624796
Algeria,DZA,2009-07-01,0.0596390540088059
Algeria,DZA,2009-08-01,0.0800256105069014
Algeria,DZA,2009-09-01,0.194647089216647
Algeria,DZA,2009-10-01,0.130164664394343
Algeria,DZA,2009-11-01,0.117375393472929
Algeria,DZA,2009-12-01,0.116411233557016
Algeria,DZA,2010-01-01,0.102138559891157
Algeria,DZA,2010-02-01,0.108388480365516
Algeria,DZA,2010-04-01,0.0830843938672668
Algeria,DZA,2010-05-01,0.109809263719598
Algeria,DZA,2010-06-01,0.0761705648531938
Algeria,DZA,2010-08-01,0.092694854233496
Algeria,DZA,2010-09-01,0.210240655339673
Algeria,DZA,2010-10-01,0.130238063304341
Algeria,DZA,2010-11-01,0.0634561976515195
Algeria,DZA,2010-12-01,0.0828762433978408
Algeria,DZA,2011-02-01,0.0885346508098076
Algeria,DZA,2011-03-01,0.0765098141099651
Algeria,DZA,2011-04-01,0.104796390975685
Algeria,DZA,2011-05-01,0.0902522727202427
Algeria,DZA,2011-06-01,0.0729609102013956
Angola,AGO,2003-01-01,0.0574263950501597
Angola,AGO,2003-03-01,0.051615936525331
Angola,AGO,2003-04-01,0.0689964211535392
Angola,AGO,2003-05-01,0.458754842509806
Angola,AGO,2003-06-01,0.0898017788704566
Angola,AGO,2003-07-01,0.0903320411194482
Angola,AGO,2003-08-01,0.139156433722208
Angola,AGO,2003-09-01,0.0811448298801705
Angola,AGO,2003-10-01,0.0566783575167492
Angola,AGO,2003-11-01,0.279393423821406
Angola,AGO,2003-12-01,0.0504942010026125
Angola,AGO,2004-01-01,0.0529943086182549
Angola,AGO,2004-02-01,0.0786686702205272
Angola,AGO,2004-04-01,0.0736699898817004
Angola,AGO,2004-05-01,0.105679028371794
Angola,AGO,2004-07-01,0.107974418817755
Angola,AGO,2004-08-01,0.0849277279103957
Angola,AGO,2004-09-01,0.368559112600613
Angola,AGO,2004-11-01,0.119032871475285
Angola,AGO,2005-01-01,0.089924701950363
Angola,AGO,2005-02-01,0.121155250049517
Angola,AGO,2005-03-01,0.322523413530542
Angola,AGO,2005-04-01,0.0766865340020197
Angola,AGO,2005-05-01,0.0797526991786699
Angola,AGO,2005-06-01,0.151426416810317
Angola,AGO,2005-07-01,0.104019485895837
Angola,AGO,2005-08-01,0.103319740903198
Angola,AGO,2005-09-01,0.349931543567575
Angola,AGO,2005-10-01,0.10040904743476
Angola,AGO,2005-11-01,0.0982420110385439
Angola,AGO,2005-12-01,0.375091445766206
Angola,AGO,2006-01-01,0.0995620707828768
Angola,AGO,2006-02-01,0.104863555312396
Angola,AGO,2006-04-01,0.1214327359272
Angola,AGO,2006-06-01,0.38249517314617
Angola,AGO,2006-07-01,0.0832999608414214
Angola,AGO,2006-08-01,0.0859074507695683
Angola,AGO,2006-09-01,0.3648433381541
Angola,AGO,2006-10-01,0.0810541347218986
Angola,AGO,2006-11-01,0.0813703234931447
Angola,AGO,2006-12-01,0.376836435494028
Angola,AGO,2007-01-01,0.101987918545969
Angola,AGO,2007-02-01,0.0950290936163074
Angola,AGO,2007-03-01,0.115419382857364
Angola,AGO,2007-04-01,0.0916197206566376
Angola,AGO,2007-05-01,0.0869525378376431
Angola,AGO,2007-06-01,0.316159570934358
Angola,AGO,2007-08-01,0.114182328850423
Angola,AGO,2007-09-01,0.221091524192876
Angola,AGO,2007-10-01,0.166823977413297
Angola,AGO,2007-11-01,0.183393326592756
Angola,AGO,2007-12-01,0.138545990429502
Angola,AGO,2008-01-01,0.166162843103728
Angola,AGO,2008-02-01,0.195128973191349
Angola,AGO,2008-03-01,0.157607765765963
Angola,AGO,2008-05-01,0.160809276908218
Angola,AGO,2008-06-01,0.151070777080967
Angola,AGO,2008-07-01,0.13097953867292
Angola,AGO,2008-08-01,0.166197047790415
Angola,AGO,2008-09-01,0.121848646714438
Angola,AGO,2008-10-01,0.160926894671317
Angola,AGO,2008-11-01,0.152643320034433
Angola,AGO,2008-12-01,0.10915670013098
Angola,AGO,2009-01-01,0.133956547793729
Angola,AGO,2009-02-01,0.143903378875509
Angola,AGO,2009-03-01,0.119731754199088
Angola,AGO,2009-04-01,0.141911693439263
Angola,AGO,2009-05-01,0.104563470793007
Angola,AGO,2009-06-01,0.103764134222679
Angola,AGO,2009-07-01,0.155197089628332
Angola,AGO,2009-08-01,0.146865711284564
Angola,AGO,2009-09-01,0.156235120844361
Angola,AGO,2009-10-01,0.144263855502978
Angola,AGO,2009-11-01,0.100940513706682
Angola,AGO,2009-12-01,0.0934520529541548
Angola,AGO,2010-01-01,0.0691421187899226
Angola,AGO,2010-02-01,0.137167663441536
Angola,AGO,2010-03-01,0.140845639907249
Angola,AGO,2010-04-01,0.10413900078755
Angola,AGO,2010-05-01,0.0939977341850245
Angola,AGO,2010-07-01,0.084730676125973
Angola,AGO,2010-08-01,0.122010010536988
Angola,AGO,2010-09-01,0.0862099005123307
Angola,AGO,2010-10-01,0.128271109785085
Angola,AGO,2010-11-01,0.056494460740191
Angola,AGO,2010-12-01,0.0699098120400091
Angola,AGO,2011-01-01,0.0716128368651317
Angola,AGO,2011-03-01,0.0781456630968873
Angola,AGO,2011-04-01,0.103928413140426
Angola,AGO,2011-05-01,0.0726228839318327
Argentina,ARG,2003-01-01,0.192955360630066
Argentina,ARG,2003-03-01,0.0704210700822104
Argentina,ARG,2003-04-01,0.143329843772211
Argentina,ARG,2003-05-01,0.0483819614206043
Argentina,ARG,2003-06-01,0.226029259132046
Argentina,ARG,2003-07-01,0.125654071671296
Argentina,ARG,2003-08-01,0.17405461736554
Argentina,ARG,2003-10-01,0.121936687912299
Argentina,ARG,2003-11-01,0.154475922225258
Argentina,ARG,2003-12-01,0.682338163691128
Argentina,ARG,2004-01-01,0.111339140155592
Argentina,ARG,2004-05-01,0.0954221800560315
Argentina,ARG,2004-06-01,0.406106214844495
Argentina,ARG,2004-07-01,0.107661800174839
Argentina,ARG,2004-08-01,0.123717900873207
Argentina,ARG,2004-09-01,0.486160140776784
Argentina,ARG,2004-10-01,0.103777402053948
Argentina,ARG,2004-11-01,0.0960687778534168
Argentina,ARG,2004-12-01,0.535116763484827
Argentina,ARG,2005-01-01,0.122724680758106
Argentina,ARG,2005-02-01,0.135921101994371
Argentina,ARG,2005-03-01,0.415544764823508
Argentina,ARG,2005-04-01,0.0859209870875921
Argentina,ARG,2005-05-01,0.085498608589241
Argentina,ARG,2005-06-01,0.39700228938652
Argentina,ARG,2005-07-01,0.0387403853293566
Argentina,ARG,2005-08-01,0.0344633428895586
Argentina,ARG,2005-09-01,0.352789339178151
Argentina,ARG,2005-10-01,0.0304369559985702
Argentina,ARG,2005-11-01,0.0618996634062608
Argentina,ARG,2005-12-01,0.268622501062568
Argentina,ARG,2006-01-01,0.0588021017572811
Argentina,ARG,2006-02-01,0.0704451539326287
Argentina,ARG,2006-03-01,0.326194369179277
Argentina,ARG,2006-04-01,0.0499432078939628
Argentina,ARG,2006-05-01,0.0502543780995128
Argentina,ARG,2006-06-01,0.304476002295153
Argentina,ARG,2006-07-01,0.0565585237832578
Argentina,ARG,2006-08-01,0.0569611916638633
Argentina,ARG,2006-09-01,0.28761908884496
Argentina,ARG,2006-10-01,0.080382648180205
Argentina,ARG,2007-01-01,0.0696465747151016
Argentina,ARG,2007-02-01,0.0738847026089555
Argentina,ARG,2007-03-01,0.286321836145621
Argentina,ARG,2007-04-01,0.0625920463431531
Argentina,ARG,2007-05-01,0.0877008917986674
Argentina,ARG,2007-06-01,0.308701701347295
Argentina,ARG,2007-07-01,0.087071087398259
Argentina,ARG,2007-08-01,0.0983685009414581
Argentina,ARG,2007-09-01,0.345464092037843
Argentina,ARG,2007-10-01,0.165640612300579
Argentina,ARG,2007-11-01,0.203517730606319
Argentina,ARG,2007-12-01,0.18093981744414
Argentina,ARG,2008-01-01,0.143317155980246
Argentina,ARG,2008-02-01,0.199917943143398
Argentina,ARG,2008-04-01,0.100553953826171
Argentina,ARG,2008-05-01,0.156150608085511
Argentina,ARG,2008-07-01,0.0985863659426954
Argentina,ARG,2008-08-01,0.101101770630459
Argentina,ARG,2008-09-01,0.169578919633168
Argentina,ARG,2008-10-01,0.297813932837117
Argentina,ARG,2008-11-01,0.352971820375407
Argentina,ARG,2008-12-01,0.369926672033057
Argentina,ARG,2009-01-01,0.202795932613389
Argentina,ARG,2009-02-01,0.265376883627514
Argentina,ARG,2009-03-01,0.366082521605005
Argentina,ARG,2009-04-01,0.33136231734969
Argentina,ARG,2009-05-01,0.214551513491309
Argentina,ARG,2009-06-01,0.246110837634358
Argentina,ARG,2009-08-01,0.213935350501197
Argentina,ARG,2009-09-01,0.197044621748771
Argentina,ARG,2009-10-01,0.184977150667551
Argentina,ARG,2009-11-01,0.231214046588305
Argentina,ARG,2009-12-01,0.221210380387722
Argentina,ARG,2010-01-01,0.212675182052478
Argentina,ARG,2010-02-01,0.260326348694569
Argentina,ARG,2010-03-01,0.234750783058207
Argentina,ARG,2010-04-01,0.173484896803597
Argentina,ARG,2010-05-01,0.276726338223662
Argentina,ARG,2010-06-01,0.242977407707978
Argentina,ARG,2010-08-01,0.177734093916487
Argentina,ARG,2010-09-01,0.151652611258416
Argentina,ARG,2010-10-01,0.103731267653043
Argentina,ARG,2010-11-01,0.139420954950362
Argentina,ARG,2010-12-01,0.176191506173095
Argentina,ARG,2011-01-01,0.188665458920102
Argentina,ARG,2011-02-01,0.196432754779771
Argentina,ARG,2011-03-01,0.141676804746413
Argentina,ARG,2011-04-01,0.116332968227112
Argentina,ARG,2011-05-01,0.134319453856794
Armenia,ARM,2003-02-01,0.335083838360133
Armenia,ARM,2003-05-01,0.330798751944713
Armenia,ARM,2004-02-01,0.233034862749556
Armenia,ARM,2004-05-01,0.27693785232467
Armenia,ARM,2004-08-01,0.238097261757276
Armenia,ARM,2004-11-01,0.162213480446445
Armenia,ARM,2005-02-01,0.170064574591131
Armenia,ARM,2005-05-01,0.202140053834055
Armenia,ARM,2005-08-01,0.272758416597126
Armenia,ARM,2006-02-01,0.218856294308824
Armenia,ARM,2006-08-01,0.194910302800929
Armenia,ARM,2006-11-01,0.179246042911777
Armenia,ARM,2007-02-01,0.166564469519615
Armenia,ARM,2007-05-01,0.195930803350022
Armenia,ARM,2007-08-01,0.17142060154491
Armenia,ARM,2007-11-01,0.0789750846393439
Armenia,ARM,2008-02-01,0.141500644611782
Armenia,ARM,2008-05-01,0.14434992408888
Armenia,ARM,2008-08-01,0.186593426276603
Armenia,ARM,2008-11-01,0.161588707912315
Armenia,ARM,2009-02-01,0.264622299668483
Armenia,ARM,2009-05-01,0.262104852562271
Armenia,ARM,2009-08-01,0.312549204409438
Armenia,ARM,2009-11-01,0.313837698013578
Armenia,ARM,2010-02-01,0.261566041375588
Armenia,ARM,2010-08-01,0.198782151399806
Armenia,ARM,2010-11-01,0.148700634693737
Armenia,ARM,2011-02-01,0.141938770224212
Armenia,ARM,2011-05-01,0.116518653521865
Aruba,ABW,2003-06-01,0.0144726642460926
Aruba,ABW,2003-12-01,0.0119408537836831
Aruba,ABW,2004-03-01,0.0168323645448022
Aruba,ABW,2004-12-01,0.110190964650032
Aruba,ABW,2005-06-01,0.0802914246471254
Aruba,ABW,2005-09-01,0.158813103600433
Aruba,ABW,2005-12-01,0.08533481807406
Aruba,ABW,2006-03-01,0.100605546423979
Aruba,ABW,2006-06-01,0.144826460170498
Aruba,ABW,2006-09-01,0.0613757747807554
Aruba,ABW,2006-12-01,0.106611072429323
Aruba,ABW,2007-03-01,0.092172381601622
Aruba,ABW,2007-06-01,0.037935592934786
Aruba,ABW,2007-09-01,0.0694713297960633
Aruba,ABW,2007-12-01,0.0761262770190093
Aruba,ABW,2008-03-01,0.0202187717676897
Aruba,ABW,2008-06-01,0.102924332738347
Aruba,ABW,2008-09-01,0.0953162268078559
Aruba,ABW,2008-12-01,0.125159745694634
Aruba,ABW,2009-03-01,0.126785911407175
Aruba,ABW,2009-06-01,0.0601063705603052
Aruba,ABW,2009-12-01,0.117089419150601
Aruba,ABW,2010-03-01,0.193849491379303
Aruba,ABW,2010-06-01,0.103436347147637
Aruba,ABW,2010-12-01,0.172011920586786
Aruba,ABW,2011-03-01,0.156597582953478
Aruba,ABW,2011-06-01,0.136885810504264
Australia,AUS,2003-01-01,0.11502377224293
Australia,AUS,2003-02-01,0.0291969510604629
Australia,AUS,2003-03-01,0.052671384815851
Australia,AUS,2003-04-01,0.128750215452053
Australia,AUS,2003-05-01,0.0321602905446602
Australia,AUS,2003-07-01,0.0882377271685344
Australia,AUS,2003-08-01,0.0261130575069378
Australia,AUS,2003-09-01,0.0265149532295236
Australia,AUS,2003-10-01,0.0916376541655651
Australia,AUS,2003-11-01,0.0222123777669252
Australia,AUS,2003-12-01,0.0351260426853455
Australia,AUS,2004-01-01,0.121020518792701
Australia,AUS,2004-02-01,0.0425507158121693
Australia,AUS,2004-03-01,0.04266595622261
Australia,AUS,2004-04-01,0.107839007536361
Australia,AUS,2004-07-01,0.22646819844663
Australia,AUS,2004-08-01,0.0373329616540874
Australia,AUS,2004-09-01,0.0482846949480972
Australia,AUS,2004-10-01,0.144304011065686
Australia,AUS,2004-11-01,0.0504871143319452
Australia,AUS,2004-12-01,0.0523902943081028
Australia,AUS,2005-01-01,0.139588194687555
Australia,AUS,2005-02-01,0.0457385781299013
Australia,AUS,2005-03-01,0.0585826981662392
Australia,AUS,2005-04-01,0.134319214522304
Australia,AUS,2005-05-01,0.0501454108639233
Australia,AUS,2005-06-01,0.0503942279073542
Australia,AUS,2005-07-01,0.181643594023679
Australia,AUS,2005-08-01,0.0440149789897072
Australia,AUS,2005-09-01,0.0483534265620237
Australia,AUS,2005-11-01,0.0468647617900132
Australia,AUS,2005-12-01,0.0439700412389164
Australia,AUS,2006-01-01,0.131799301393972
Australia,AUS,2006-02-01,0.0441278189152953
Australia,AUS,2006-03-01,0.0394093361089403
Australia,AUS,2006-04-01,0.130965945376754
Australia,AUS,2006-05-01,0.0453862859190384
Australia,AUS,2006-06-01,0.0556148833261948
Australia,AUS,2006-07-01,0.166514113264097
Australia,AUS,2006-09-01,0.0536199406470889
Australia,AUS,2006-12-01,0.0525894811315482
Australia,AUS,2007-01-01,0.14175022339097
Australia,AUS,2007-02-01,0.0524893974296364
Australia,AUS,2007-03-01,0.0465109625749746
Australia,AUS,2007-04-01,0.0978400783898354
Australia,AUS,2007-06-01,0.0219349531778428
Australia,AUS,2007-07-01,0.0785838099835645
