"country","year","gdp_billions"
"Australia",2000,"587.5974197"
"Australia",2001,"603.5703006"
"Australia",2002,"626.5214349"
"Australia",2003,"646.9259815"
"Australia",2004,"671.2560052"
"Australia",2005,"693.3914268"
"Australia",2006,"711.4723101"
"Australia",2007,"744.81484"
"Australia",2008,"763.5896377"
"Australia",2009,"775.4822798"
"Australia",2010,"792.9804314"
"Australia",2011,"813.3765975"
"Australia",2012,"842.916566"
"Australia",2013,"863.5501827"
"Australia",2014,"885.7496807"
"Austria",2000,"254.6911979"
"Austria",2001,"257.1861228"
"Austria",2002,"261.0776992"
"Austria",2003,"263.4980265"
"Austria",2004,"269.2031422"
"Austria",2005,"276.6494827"
"Austria",2006,"287.2286351"
"Austria",2007,"297.7227855"
"Austria",2008,"300.3579251"
"Austria",2009,"289.9716062"
"Austria",2010,"295.4252594"
"Austria",2011,"303.9353008"
"Austria",2012,"306.0391841"
"Austria",2013,"307.3544935"
"Austria",2014,"311.8296305"
"Belgium",2000,"311.6436314"
"Belgium",2001,"314.1407411"
"Belgium",2002,"318.4110749"
"Belgium",2003,"320.9782062"
"Belgium",2004,"331.4853969"
"Belgium",2005,"337.311"
"Belgium",2006,"346.3043426"
"Belgium",2007,"356.2710847"
"Belgium",2008,"359.7780839"
"Belgium",2009,"349.7058163"
"Belgium",2010,"357.8293127"
"Belgium",2011,"364.1785987"
"Belgium",2012,"363.6766126"
"Belgium",2013,"364.5227896"
"Belgium",2014,"370.1656705"
"Canada",2000,"1,025.286929"
"Canada",2001,"1,042.598001"
"Canada",2002,"1,071.809827"
"Canada",2003,"1,092.445379"
"Canada",2004,"1,126.735132"
"Canada",2005,"1,162.375425"
"Canada",2006,"1,192.850372"
"Canada",2007,"1,216.806711"
"Canada",2008,"1,231.108792"
"Canada",2009,"1,197.727622"
"Canada",2010,"1,238.14201"
"Canada",2011,"1,269.444919"
"Canada",2012,"1,291.13961"
"Canada",2013,"1,317.079603"
"Canada",2014,"1,349.458422"
"Chile",2000,"165.5811075"
"Chile",2001,"171.1250617"
"Chile",2002,"174.8331854"
"Chile",2003,"181.750901"
"Chile",2004,"194.2821325"
"Chile",2005,"206.4274255"
"Chile",2006,"218.2814261"
"Chile",2007,"229.6460137"
"Chile",2008,"236.9114702"
"Chile",2009,"234.764134"
"Chile",2010,"248.1135297"
"Chile",2011,"262.3334551"
"Chile",2012,"276.6295872"
"Chile",2013,"288.3198675"
"Chile",2014,"298.6857662"
"Czech Republic",2000,"178.3238941"
"Czech Republic",2001,"183.823524"
"Czech Republic",2002,"187.6002848"
"Czech Republic",2003,"194.6598916"
"Czech Republic",2004,"203.5803927"
"Czech Republic",2005,"217.4775508"
"Czech Republic",2006,"233.1884539"
"Czech Republic",2007,"246.5307176"
"Czech Republic",2008,"253.7064863"
"Czech Republic",2009,"242.6530225"
"Czech Republic",2010,"248.2530279"
"Czech Republic",2011,"252.7894157"
"Czech Republic",2012,"250.4158868"
"Czech Republic",2013,"248.0483651"
"Czech Republic",2014,"251.1483136"
"Denmark",2000,"169.0126876"
"Denmark",2001,"170.2039459"
"Denmark",2002,"170.9967211"
"Denmark",2003,"171.6529434"
"Denmark",2004,"175.5950501"
"Denmark",2005,"179.8884924"
"Denmark",2006,"185.9953061"
"Denmark",2007,"188.9399828"
"Denmark",2008,"187.4590881"
"Denmark",2009,"176.8370645"
"Denmark",2010,"179.2896619"
"Denmark",2011,"181.21025"
"Denmark",2012,"180.5601976"
"Denmark",2013,"181.2754415"
"Denmark",2014,"183.857321"
"Estonia",2000,"15.76655079"
"Estonia",2001,"16.75694944"
"Estonia",2002,"17.85627713"
"Estonia",2003,"19.24288611"
"Estonia",2004,"20.463431"
"Estonia",2005,"22.27516017"
"Estonia",2006,"24.52435957"
"Estonia",2007,"26.36177459"
"Estonia",2008,"25.26740366"
