country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Australia,0.24,-0.18,0.5,0.76,1.49,1.58,0.82,2.07,1.12,-0.38,-1.1,-1.43
Austria,3.07,1.66,1.05,-0.11,-0.04,0.67,2.48,4.19,3.17,-2.02,-1.78,-0.64
Belgium,1.76,0.34,-0.27,-1.23,0.28,0.33,1.42,2.82,2.35,-1.63,-0.3,0.38
Canada,2.64,1.24,1.24,0.55,1.16,1.9,2.19,2.05,1.25,-3.02,-1.39,-0.7
Chile,-2.37,-2.51,-3.77,-3.44,-0.34,1.72,3.09,3.99,2.36,-2.68,-1.08,0.28
Czech Republic,-1.36,-1.6,-3.23,-3.28,-2.58,0.25,3.79,6.19,6.14,-0.63,-0.03,0.23
Denmark,3.48,2.36,1.16,0.16,1.16,2.41,4.54,4.87,2.88,-3.61,-2.73,-2.16
Estonia,,-2.58,-1.94,-0.19,0.67,4.52,10.14,13.65,5.41,-10.74,-9.2,-1.91
Finland,2.07,0.65,-0.78,-1.71,-0.23,0.37,2.81,6.38,5.16,-4.41,-1.51,0.68
France,2.62,2.17,1.23,0.52,1.32,1.67,2.88,3.57,1.84,-2.18,-1.59,-0.82
Germany,0.63,0.74,-0.44,-1.86,-2.17,-2.32,0.24,2.24,1.65,-4.51,-1.84,0.3
Greece,-1.39,-0.96,-1.18,1.14,2.45,2.27,5.9,7.87,6.2,2.39,-2.09,-7.57
Hungary,-1.96,-1.65,-0.55,0.08,1.73,3.27,5.34,3.87,3.57,-3.62,-2.93,-1.47
Iceland,1.77,2.1,-0.72,-1.03,3.46,6.61,6.33,8.13,6.18,-2.39,-7.25,-5.69
Ireland,10.52,9,8.62,7.02,6.16,7.43,8.63,9.45,3.2,-5.25,-7.58,-6.68
Israel,3.54,-0.38,-3.84,-5.57,-4.04,-2.76,-0.89,1.99,2.91,0.19,1.88,2.42
Italy,2.43,2.67,1.67,0.4,0.81,0.95,2.38,3.2,1.5,-4.25,-2.78,-2.32
Japan,-2.26,-2.76,-3.15,-2.12,-0.4,0.31,1.42,3.01,1.34,-4.64,-0.62,-1.53
Korea,-0.55,-1.02,1.44,-0.19,0.28,0.02,1.07,2.45,1.39,-1.45,1.2,1.14
Luxembourg,5.73,3.62,3.26,0.78,1.28,2.97,4.56,7.97,3.95,-4.05,-2.87,-2.93
Mexico,3.74,0.47,-1.9,-2.78,-1.07,-0.17,2.42,3.17,1.9,-4.74,-1.98,-0.47
Netherlands,2.75,2.07,-0.17,-1.73,-1.38,-0.79,1.15,3.5,3.69,-1.23,-0.64,-0.49
New Zealand,-0.04,-1.29,0.19,1.28,2.33,1.87,1.26,2.15,-0.7,-1.51,-1.11,-1.63
Norway,1.38,0.47,-1.01,-2.66,-1.13,0.32,1.92,4.2,2.75,-1.32,-1.78,-1.47
Poland,1.19,-1.22,-2.9,-2.33,-0.82,-1.54,-0.37,1.15,1.52,-0.49,0.4,1.81
Portugal,4.66,4,2.55,-0.12,-0.04,-0.46,-0.08,1.33,0.34,-3.09,-1.71,-3.4
Slovak Republic,-3.29,-3.62,-3.3,-3.05,-3.05,-1.84,0.86,6.01,7.31,-1.19,0.72,0.59
Slovenia,-0.68,-1.47,-1.2,-1.72,-0.75,0.14,3.04,7.32,8.3,-1.73,-1.21,-0.93
Spain,2.66,2.79,2.17,1.63,1.41,1.73,2.93,4.04,3.2,-1.36,-1.85,-2.03
Sweden,1.49,-0.03,-0.29,-0.41,0.86,1.57,3.72,4.8,1.67,-5.18,-1.06,-0.25
Switzerland,1.39,0.88,-0.6,-2.23,-1.65,-0.9,0.75,2.44,2.51,-1.24,-0.06,-0.07
Turkey,-0.08,-8.59,-5.61,-3.7,1.44,5.2,7.1,6.64,2.23,-6.79,-2.66,0.77
United Kingdom,0.87,-0.11,-0.78,0.25,0.94,2.01,2.97,4.86,2.58,-3.41,-2.47,-2.12
United States,3.32,1.26,0.35,0.63,1.94,2.83,3.06,2.44,-0.2,-4.84,-4.21,-4.23
Brazil,-1.17,-2.67,-2.83,-4.32,-1.55,-1.24,-0.34,2.49,4.23,0.51,4.6,3.9
China,-1.36,-2.37,-2.99,-3.32,-3.8,-3.29,-1.52,1.71,1.28,0.51,1.31,1.62
India,0.14,-2.11,-4.01,-3.72,-2.49,-0.85,0.79,2.83,1.11,-1.02,2.77,3.56
Indonesia,-6.65,-6.49,-5.66,-4.63,-3.61,-2.32,-1.43,-0.03,0.65,-0.26,0.21,0.77
Russian Federation,-1.12,-1.35,-2.06,-0.51,1.02,2.04,4.99,8.5,9.04,-3.08,-1.74,-0.52
South Africa,-3.38,-3,-1.83,-1.58,-0.15,1.68,3.6,5.36,4.96,-0.42,-0.7,-0.42
